prompt_name,index,source,ground_truth,prediction,correct,text_preview
binary_classifier_en,0,Finance_TRUE_50,True,True,True,At least 61 people have been killed in clashes between different ethnic groups in Ethiopia s Oromiya...
binary_classifier_en,1,Finance_TRUE_50,True,True,True,The Trump administration is nearing completion of new â€œBuy Americanâ€ rules to make it easier to ...
binary_classifier_en,2,Finance_TRUE_50,True,False,False,German Finance Minister Wolfgang Schaeuble has issued a warning to U.S. President-elect Donald Trump...
binary_classifier_en,3,Finance_TRUE_50,True,False,False,Singer Chris Brown and rapper Lil Wayne have reportedly been named in a federal investigation for th...
binary_classifier_en,4,Finance_TRUE_50,True,False,False,â€¦    Is because he has a very powerful bullshit detector. We know this thanks to a fascinating and...
binary_classifier_en,5,Finance_TRUE_50,True,False,False,Democrats were seething Tuesday night over President Donald Trumpâ€™s decision to nominate Judge Nei...
binary_classifier_en,6,Finance_TRUE_50,True,True,True,(CNN) The Democratic candidates for president gathered in New Hampshire Thursday for their fifth deb...
binary_classifier_en,7,Finance_TRUE_50,True,True,True,U.S. Republican presidential nominee Donald Trump on Friday accused Mexican billionaire Carlos Slim ...
binary_classifier_en,8,Finance_TRUE_50,True,True,True,"â€œLook on the sunny side of life. â€ â€œTurn your face toward the sun, and the shadows will fall b..."
binary_classifier_en,9,Finance_TRUE_50,True,True,True,Former Officer Peter Liang will not serve any time in prison for fatally shooting an unarmed man in ...
binary_classifier_en,10,Finance_TRUE_50,True,True,True,Hungarian prosecutors said on Friday they had launched an investigation into the financial reporting...
binary_classifier_en,11,Finance_TRUE_50,True,True,True,South Carolina is suing the U.S. government to recover $100 million in fines it says the Department ...
binary_classifier_en,12,Finance_TRUE_50,True,True,True,"MOSCOW  â€”   Tiger shooter,   horseman and architect of Russiaâ€™s revival as a muscular global pow..."
binary_classifier_en,13,Finance_TRUE_50,True,True,True,Democratic presidential nominee Hillary Clintonâ€™s campaign deployed a popular surrogate on Friday ...
binary_classifier_en,14,Finance_TRUE_50,True,True,True,U.S. Republicans on Friday repealed a securities disclosure rule aimed at curbing corruption at ener...
binary_classifier_en,15,Finance_TRUE_50,True,True,True,The U.S. Congress is struggling through another contentious week as infighting over defense spending...
binary_classifier_en,16,Finance_TRUE_50,True,False,False,New York Times Reporter Karen Crouse queried 56 PGA players at the Genesis Open last week in Los Ang...
binary_classifier_en,17,Finance_TRUE_50,True,True,True,Cambodian government lawyers filed a lawsuit on Friday to demand the dissolution of the main opposit...
binary_classifier_en,18,Finance_TRUE_50,True,True,True,The United States stepped up pressure on China on Saturday to rein in its actions in the South China...
binary_classifier_en,19,Finance_TRUE_50,True,True,True,"WASHINGTON  â€”   Travelers were stranded around the world, protests escalated in the United States ..."
binary_classifier_en,20,Finance_TRUE_50,True,False,False,Saudi authorities fired a senior education official and other supervisors after a school textbook wa...
binary_classifier_en,21,Finance_TRUE_50,True,True,True,Russia s parliament warned on Friday some U.S. and other foreign media could be declared  foreign ag...
binary_classifier_en,22,Finance_TRUE_50,True,True,True,Hillary Clinton said on Wednesday she suspects President Donald Trumpâ€™s campaign gave guidance to ...
binary_classifier_en,23,Finance_TRUE_50,True,True,True,"Editorâ€™s note: This article first ran on July 13, 2012, but weâ€™re running it again because the t..."
binary_classifier_en,24,Finance_TRUE_50,True,True,True,WASHINGTON -- Former Florida Gov. Jeb Bush will lay out a vision of American foreign policy on Wedne...
binary_classifier_en,25,Finance_TRUE_50,True,True,True,"YOU KIND OF WANT the fashion designer Rick Owens to be a monosyllabic, misanthropic recluse. Itâ€™s ..."
binary_classifier_en,26,Finance_TRUE_50,True,False,False,"North Korea has backed presumptive U.S. Republican nominee Donald Trump, with a propaganda website p..."
binary_classifier_en,27,Finance_TRUE_50,True,True,True,U.S. Senate Republicans may include a repeal of Obamacareâ€™s individual mandate in their version of...
binary_classifier_en,28,Finance_TRUE_50,True,True,True,"India s top court unanimously ruled on Thursday that individual privacy is a fundamental right, a ve..."
binary_classifier_en,29,Finance_TRUE_50,True,True,True,Video of a confrontation between a news photographer and protesters at the University of Missouri on...
binary_classifier_en,30,Finance_TRUE_50,True,True,True,"On Friday morning, the third day in his four-day New England campaign swing, Libertarian presidentia..."
binary_classifier_en,31,Finance_TRUE_50,True,True,True,MANILA  â€”   Philippine officials confirmed on Tuesday that a Canadian man held captive by the mili...
binary_classifier_en,32,Finance_TRUE_50,True,True,True,The bipartisan commission responsible for arranging presidential debates on Sunday rebuffed Donald J...
binary_classifier_en,33,Finance_TRUE_50,True,True,True,"Monday on the Senate floor, Majority Leader Mitch McConnell ( ) said the Senateâ€™s work on the heal..."
binary_classifier_en,34,Finance_TRUE_50,True,True,True,WASHINGTON  â€”   Although there is plenty of anxiety in Washington about the shaky early performanc...
binary_classifier_en,35,Finance_TRUE_50,True,False,False,"Thursdayâ€™s nuclear option vote restores 200 years of Senate practice, going far beyond Neil Gorsuc..."
binary_classifier_en,36,Finance_TRUE_50,True,True,True,WASHINGTON  â€”   The whirlwind first week of Donald J. Trumpâ€™s presidency had all the bravura hal...
binary_classifier_en,37,Finance_TRUE_50,True,True,True,Iraq s Kurdish region said on Thursday it had offered a joint Kurdish-Iraqi deployment at a strategi...
