prompt_name,index,source,ground_truth,prediction,correct,text_preview
cot_with_scoring,0,Finance_TRUE_50,True,True,True,At least 61 people have been killed in clashes between different ethnic groups in Ethiopia s Oromiya...
cot_with_scoring,1,Finance_TRUE_50,True,True,True,The Trump administration is nearing completion of new â€œBuy Americanâ€ rules to make it easier to ...
cot_with_scoring,2,Finance_TRUE_50,True,False,False,German Finance Minister Wolfgang Schaeuble has issued a warning to U.S. President-elect Donald Trump...
cot_with_scoring,3,Finance_TRUE_50,True,True,True,Singer Chris Brown and rapper Lil Wayne have reportedly been named in a federal investigation for th...
cot_with_scoring,4,Finance_TRUE_50,True,False,False,â€¦    Is because he has a very powerful bullshit detector. We know this thanks to a fascinating and...
cot_with_scoring,5,Finance_TRUE_50,True,False,False,Democrats were seething Tuesday night over President Donald Trumpâ€™s decision to nominate Judge Nei...
cot_with_scoring,6,Finance_TRUE_50,True,True,True,(CNN) The Democratic candidates for president gathered in New Hampshire Thursday for their fifth deb...
cot_with_scoring,7,Finance_TRUE_50,True,True,True,U.S. Republican presidential nominee Donald Trump on Friday accused Mexican billionaire Carlos Slim ...
cot_with_scoring,8,Finance_TRUE_50,True,True,True,"â€œLook on the sunny side of life. â€ â€œTurn your face toward the sun, and the shadows will fall b..."
cot_with_scoring,9,Finance_TRUE_50,True,True,True,Former Officer Peter Liang will not serve any time in prison for fatally shooting an unarmed man in ...
cot_with_scoring,10,Finance_TRUE_50,True,True,True,Hungarian prosecutors said on Friday they had launched an investigation into the financial reporting...
cot_with_scoring,11,Finance_TRUE_50,True,True,True,South Carolina is suing the U.S. government to recover $100 million in fines it says the Department ...
cot_with_scoring,12,Finance_TRUE_50,True,True,True,"MOSCOW  â€”   Tiger shooter,   horseman and architect of Russiaâ€™s revival as a muscular global pow..."
cot_with_scoring,13,Finance_TRUE_50,True,True,True,Democratic presidential nominee Hillary Clintonâ€™s campaign deployed a popular surrogate on Friday ...
cot_with_scoring,14,Finance_TRUE_50,True,True,True,U.S. Republicans on Friday repealed a securities disclosure rule aimed at curbing corruption at ener...
cot_with_scoring,15,Finance_TRUE_50,True,True,True,The U.S. Congress is struggling through another contentious week as infighting over defense spending...
cot_with_scoring,16,Finance_TRUE_50,True,True,True,New York Times Reporter Karen Crouse queried 56 PGA players at the Genesis Open last week in Los Ang...
cot_with_scoring,17,Finance_TRUE_50,True,True,True,Cambodian government lawyers filed a lawsuit on Friday to demand the dissolution of the main opposit...
cot_with_scoring,18,Finance_TRUE_50,True,True,True,The United States stepped up pressure on China on Saturday to rein in its actions in the South China...
cot_with_scoring,19,Finance_TRUE_50,True,True,True,"WASHINGTON  â€”   Travelers were stranded around the world, protests escalated in the United States ..."
cot_with_scoring,20,Finance_TRUE_50,True,True,True,Saudi authorities fired a senior education official and other supervisors after a school textbook wa...
cot_with_scoring,21,Finance_TRUE_50,True,True,True,Russia s parliament warned on Friday some U.S. and other foreign media could be declared  foreign ag...
cot_with_scoring,22,Finance_TRUE_50,True,True,True,Hillary Clinton said on Wednesday she suspects President Donald Trumpâ€™s campaign gave guidance to ...
cot_with_scoring,23,Finance_TRUE_50,True,False,False,"Editorâ€™s note: This article first ran on July 13, 2012, but weâ€™re running it again because the t..."
cot_with_scoring,24,Finance_TRUE_50,True,True,True,WASHINGTON -- Former Florida Gov. Jeb Bush will lay out a vision of American foreign policy on Wedne...
cot_with_scoring,25,Finance_TRUE_50,True,False,False,"YOU KIND OF WANT the fashion designer Rick Owens to be a monosyllabic, misanthropic recluse. Itâ€™s ..."
cot_with_scoring,26,Finance_TRUE_50,True,True,True,"North Korea has backed presumptive U.S. Republican nominee Donald Trump, with a propaganda website p..."
cot_with_scoring,27,Finance_TRUE_50,True,True,True,U.S. Senate Republicans may include a repeal of Obamacareâ€™s individual mandate in their version of...
cot_with_scoring,28,Finance_TRUE_50,True,True,True,"India s top court unanimously ruled on Thursday that individual privacy is a fundamental right, a ve..."
cot_with_scoring,29,Finance_TRUE_50,True,True,True,Video of a confrontation between a news photographer and protesters at the University of Missouri on...
cot_with_scoring,30,Finance_TRUE_50,True,True,True,"On Friday morning, the third day in his four-day New England campaign swing, Libertarian presidentia..."
cot_with_scoring,31,Finance_TRUE_50,True,True,True,MANILA  â€”   Philippine officials confirmed on Tuesday that a Canadian man held captive by the mili...
cot_with_scoring,32,Finance_TRUE_50,True,True,True,The bipartisan commission responsible for arranging presidential debates on Sunday rebuffed Donald J...
cot_with_scoring,33,Finance_TRUE_50,True,False,False,"Monday on the Senate floor, Majority Leader Mitch McConnell ( ) said the Senateâ€™s work on the heal..."
cot_with_scoring,34,Finance_TRUE_50,True,True,True,WASHINGTON  â€”   Although there is plenty of anxiety in Washington about the shaky early performanc...
cot_with_scoring,35,Finance_TRUE_50,True,False,False,"Thursdayâ€™s nuclear option vote restores 200 years of Senate practice, going far beyond Neil Gorsuc..."
cot_with_scoring,36,Finance_TRUE_50,True,True,True,WASHINGTON  â€”   The whirlwind first week of Donald J. Trumpâ€™s presidency had all the bravura hal...
cot_with_scoring,37,Finance_TRUE_50,True,True,True,Iraq s Kurdish region said on Thursday it had offered a joint Kurdish-Iraqi deployment at a strategi...
cot_with_scoring,38,Finance_TRUE_50,True,False,False,"America's constitutional democracy is going to collapse.

Some day â€” not tomorrow, not next year, ..."
cot_with_scoring,39,Finance_TRUE_50,True,True,True,"Donald Trumpâ€™s presidential campaign is buying commercial time on a TV station in West Palm Beach,..."
cot_with_scoring,40,Finance_TRUE_50,True,True,True,Austria s Social Democratic (SPO) Chancellor Christian Kern pledged on Sunday to get to the bottom o...
cot_with_scoring,41,Finance_TRUE_50,True,True,True,Americaâ€™s allies in Asia were silent on Wednesday over confusion about a U.S. aircraft carrier gro...
cot_with_scoring,42,Finance_TRUE_50,True,True,True,U.S. Treasury Secretary Steven Mnuchin said on Friday that new sanctions imposed against Venezuela w...
cot_with_scoring,43,Finance_TRUE_50,True,True,True,"North Carolina on Thursday repealed a law restricting bathroom use for transgender people, hoping to..."
cot_with_scoring,44,Finance_TRUE_50,True,False,False,"Marine Le Pen, the presidential candidate for Franceâ€™s populist National Front (FN) has pledged to..."
cot_with_scoring,45,Finance_TRUE_50,True,True,True,"LOS ANGELES  â€”   â€œThe Great Wall,â€ an epic fantasy film that cost at least $150 million to mak..."
cot_with_scoring,46,Finance_TRUE_50,True,True,True,U.N. special envoy on Syria Staffan de Mistura will arrive in Kazakhstan s capital on Friday to take...
