prompt_name,index,claim,ground_truth,prediction,correct,raw_label,error
dual_track_verifier,1,Oprah's advice regarding a ten percent tip.,False,False,True,false,
dual_track_verifier,2,Poll to Legalize Marijuana,False,True,False,false,
weighted_evidence_scorer,1,Oprah's advice regarding a ten percent tip.,False,False,True,false,
weighted_evidence_scorer,2,Poll to Legalize Marijuana,False,True,False,false,
cross_check_simulator,1,Oprah's advice regarding a ten percent tip.,False,False,True,false,
cross_check_simulator,2,Poll to Legalize Marijuana,False,True,False,false,
tribunal_judgment,2,Poll to Legalize Marijuana,False,True,False,false,
tribunal_judgment,1,Oprah's advice regarding a ten percent tip.,False,True,False,false,
editorial_board_vote,1,Oprah's advice regarding a ten percent tip.,False,False,True,false,
editorial_board_vote,2,Poll to Legalize Marijuana,False,True,False,false,
