prompt_name,accuracy,precision,recall,f1,total_samples,correct,unknown_count,tp,fp,fn,tn
dual_track_verifier,0.6000,0.0000,0.0000,0.0000,10,6,0,0,2,2,6
weighted_evidence_scorer,0.6000,0.0000,0.0000,0.0000,10,6,0,0,2,2,6
cross_check_simulator,0.6000,0.0000,0.0000,0.0000,10,6,0,0,2,2,6
tribunal_judgment,0.6000,0.3333,1.0000,0.5000,10,6,0,2,4,0,4
editorial_board_vote,0.6000,0.0000,0.0000,0.0000,10,6,0,0,2,2,6
systematic_cross_validator,0.8000,0.0000,0.0000,0.0000,10,8,0,0,0,2,8
detailed_scoring_validator,0.8000,0.0000,0.0000,0.0000,10,8,0,0,0,2,8
enhanced_weighted_scorer,0.8000,0.0000,0.0000,0.0000,10,8,0,0,0,2,8
expert_panel_scoring,0.8000,0.0000,0.0000,0.0000,10,8,0,0,0,2,8
committee_cross_reference,0.8000,0.0000,0.0000,0.0000,10,8,0,0,0,2,8
