prompt_name,accuracy,precision,recall,f1,total_samples,correct,unknown_count,tp,fp,fn,tn
dual_track_verifier,0.5000,0.0000,0.0000,0.0000,10,5,0,0,3,2,5
weighted_evidence_scorer,0.8000,0.0000,0.0000,0.0000,10,8,0,0,0,2,8
cross_check_simulator,0.8000,0.0000,0.0000,0.0000,10,8,0,0,0,2,8
tribunal_judgment,0.8000,0.0000,0.0000,0.0000,10,8,0,0,0,2,8
editorial_board_vote,0.8000,0.0000,0.0000,0.0000,10,8,0,0,0,2,8
systematic_cross_validator,0.8000,0.0000,0.0000,0.0000,10,8,0,0,0,2,8
detailed_scoring_validator,0.8000,0.0000,0.0000,0.0000,10,8,0,0,0,2,8
enhanced_weighted_scorer,0.8000,0.0000,0.0000,0.0000,10,8,0,0,0,2,8
expert_panel_scoring,0.8000,0.0000,0.0000,0.0000,10,8,0,0,0,2,8
committee_cross_reference,0.8000,0.0000,0.0000,0.0000,10,8,0,0,0,2,8
