prompt_name,index,claim,url,ground_truth,prediction,correct
simple,0,Says the main Central Texas food bank is delivering 50 percent more food to the poor than three years ago.,https://www.politifact.com/factchecks/2011/nov/01/lloyd-doggett/lloyd-doggett-says-central-texas-food-bank-deliver/,True,True,True
simple,1,"Canadian middle class incomes are now higher than in the United States. They are working fewer hours for more pay,  living longer on average, and facing less income inequality.",https://www.politifact.com/factchecks/2014/may/20/hillary-clinton/hillary-clinton-says-united-states-falling-behind-/,True,False,False
simple,2,Were parents in Missouri schools mandated to sign COVID-19 liability waivers?,https://www.snopes.com/fact-check/missouri-schools-death-waiver/,True,False,False
simple,3,Dr. Walter Williams - No Matter What,https://www.snopes.com/fact-check/no-matter-what/,False,False,True
simple,4,The Kelly Beguiles,https://www.snopes.com/fact-check/fox-news-saudi-megyn-kelly/,False,True,False
simple,5,"Under the compromise tax agreement, 99.7% of American families will not pay 1 nickel in an estate tax.",https://www.politifact.com/factchecks/2010/dec/14/bernie-sanders/sen-bernie-sanders-says-997-american-families-woul/,True,True,True
simple,6,The email claiming to be a secret shopper opportunity for Whole Foods Market Research is a fraudulent hoax.,https://www.snopes.com/fact-check/whole-foods-secret-shopper/,False,True,False
simple,7,"Is Stacey Abrams responsible for a debt exceeding $50,000 in overdue taxes?",https://www.snopes.com/fact-check/stacey-abrams-back-taxes/,True,False,False
simple,8,"Over 3 million Americans are employed in the growing green-collar workforce, which is more than the number of people working in the fossil fuel industry.",https://www.politifact.com/factchecks/2014/feb/14/tammy-baldwin/expansive-definition-helps-green-jobs-outnumber-oi/,True,True,True
simple,9,Did the Military Spend $1 Billion on This 'New Vehicle'?,https://www.snopes.com/fact-check/military-spent-1-billion/,False,False,True
simple,10,Ohios lost more jobs in March than any other state in the nation.,https://www.politifact.com/factchecks/2013/may/13/mike-foley/state-rep-mike-foley-says-ohio-led-nation-job-loss/,True,True,True
simple,11,Is This Man's Name Really Peter Griffin?,https://www.snopes.com/fact-check/peter-griffin/,False,False,True
simple,12,"No, Pfizer does not possess Neil Young's music collection.",https://www.snopes.com/fact-check/pfizer-neil-young-music-catalog/,False,True,False
