prompt_name,accuracy,precision,recall,f1,total_samples,correct,unknown_count,tp,fp,fn,tn
dual_track_verifier,0.7000,0.3333,0.5000,0.4000,10,7,0,1,2,1,6
weighted_evidence_scorer,0.6000,0.0000,0.0000,0.0000,10,6,0,0,2,2,6
cross_check_simulator,0.6000,0.0000,0.0000,0.0000,10,6,0,0,2,2,6
tribunal_judgment,0.6000,0.2500,0.5000,0.3333,10,6,0,1,3,1,5
editorial_board_vote,0.7000,0.3333,0.5000,0.4000,10,7,0,1,2,1,6
systematic_cross_validator,0.5000,0.2000,0.5000,0.2857,10,5,0,1,4,1,4
detailed_scoring_validator,0.7000,0.3333,0.5000,0.4000,10,7,0,1,2,1,6
enhanced_weighted_scorer,0.6000,0.0000,0.0000,0.0000,10,6,0,0,2,2,6
expert_panel_scoring,0.7000,0.3333,0.5000,0.4000,10,7,0,1,2,1,6
committee_cross_reference,0.5000,0.0000,0.0000,0.0000,10,5,0,0,3,2,5
