prompt_name,accuracy,precision,recall,f1,total_samples,correct,unknown_count,tp,fp,fn,tn
dual_track_verifier,0.56,0.5417,0.2826,0.3714,100,56,0,13,11,33,43
weighted_evidence_scorer,0.55,0.5385,0.1522,0.2373,100,55,0,7,6,39,48
cross_check_simulator,0.54,0.5,0.1739,0.2581,100,54,0,8,8,38,46
tribunal_judgment,0.45,0.4348,0.6522,0.5217,100,45,0,30,39,16,15
editorial_board_vote,0.6,0.6667,0.2609,0.375,100,60,0,12,6,34,48
systematic_cross_validator,0.44,0.3077,0.1739,0.2222,100,44,0,8,18,38,36
detailed_scoring_validator,0.61,0.6296,0.3696,0.4658,100,61,0,17,10,29,44
enhanced_weighted_scorer,0.58,0.5667,0.3696,0.4474,100,58,0,17,13,29,41
expert_panel_scoring,0.57,0.5652,0.2826,0.3768,100,57,0,13,10,33,44
committee_cross_reference,0.52,0.4167,0.1087,0.1724,100,52,0,5,7,41,47
